,time_in_seconds,MBs/s,Frames/s
confluent_kafka,13.400532722473145,0.00014119374730951517,74623.89896805867
kafka_python,88.1049633026123,2.147519685731102e-05,11350.098365801716
pykafka,67.36870789527893,2.80853157221137e-05,14843.686798245362
