,time_in_seconds,consumed_Bs/s,consumed_Frames/s,producer_time
confluent_kafka,36.851930379867554,56451711.417986155,27135.620568368013,0.00020885467529296875
kafka_python,58.95106744766235,35289514.32214472,16963.22124934913,61.0896852016449
pykafka,66.34369158744812,31357232.153080735,15073.023162750786,12.122937440872192
